review,lable,
这家店铺是真的不错啊，价格合适。,Positive
好吃！特别是鳗鱼寿司！三文鱼的肉质也很紧实！,Positive
我草你妈真的恶心,Negative
不错很喜欢味道真的好好吖我爱了一点都吃不胖啊啊啊啊啊太喜欢了,Positive
楼上的是傻逼吧,Negative
衣服收到了，好好看，是我想要的面料，下次再买个白色的，稀饭稀饭,Positive
面料是皮的，亲肤柔软，质量很好，超级无敌保暖呢！下次继续光顾,Positive
这质量是我想象中的，完美，大爱大爱，物美价廉,Positive
超级差是人穿的嘛,Negative
超好看。超显瘦。特别满意,Positive
我也是醉了，只穿了两三次，拉链就开了，什么质量,Negative
特别喜欢，经常在这家买东西。价格也不是很贵，颜色也不失真。强烈安利大家这家店！,Positive
衣服收到啦，很好看，质量也很好,Positive
楞好了，特别贴身，然后号码也正合适。快种草叭，嘻嘻嘻好物推荐哦,Positive
很好，颜色很正，是淡淡的粉紫，好看,Positive
爱了爱了超显身材宝贝很喜欢,Positive
不行啊,Negative
很好看便宜,Positive
显瘦便宜性比价高。适合比较胖的妹子噢，很漂亮呢，哇,Positive
版型很好，建议购买哦,Positive
在这也买过挺多次衣服了，便宜好穿，以后还来,Positive
怎么说呢，一起买了两件衣服，不一起发货就算了，后来到了一件质量和之前的还不一样，不一样就算了，袖子和其他地方的料子不一样，然后就又买了一件，还是不一样，真的是受不了了,Negative
上身效果超棒很百搭已经穿过两次了很推荐购买！！！！,Positive
质量不行穿了一天就开始烂洞了还起毛,Negative
真的是要吹爆这件衣服，太好看了，是我非常喜欢的那种布料，穿上很舒适，很喜欢，爱了爱了,Positive
商家有点不诚信，刚开始答应的事后面却没有做到,Negative
第一眼收到快递还以为买了个啥，颜色丑到爆，一点都不像白色，像弄脏了的白，里面穿短袖衣袖都显得好短，失望,Negative
衣服质量特别差，中间的图用油漆刷的。这次购物体验极差。如果是实体店，绝对不会买。上当了！差评！差评！差评,Negative
看抖音过来买的，还真信他把卫衣价格打下来了！到货才知道，一分价钱一分货，质量太差，衣服短，根本没法穿，跟着抖音第一次买东西也是最后一次，不要问我为什么不退货，运费也很贵！,Negative
这个蓝色真的超级好看，爱了爱了，质量还不错，我一直都在这家店买衣服,Positive
布料粗糙，有点硬，本来是直筒裤，着实被我穿成了喇叭裤的感觉,Negative
差评！！！！！收到货第一天穿就这样，要不是朋友说我还没看见，上次买的教练夹克上面就有黑色的脏东西，客服让我确认收货补发十元红包，但没过多久就降价，要求补差价说是补偿过我了牛逼！这次买卫衣居然有小洞对不起差评！！！！,Negative
衣服很好看，款式很好看，推荐购买,Positive
挺好看的，上身效果也好，很满意，后续还会回购,Positive
料子很不错，质量真的特别好上身效果很不错喜欢的小姐姐们尽快下手喽,Positive
非常适合自已，超级喜欢的，第一次买背带裤还是我很喜欢的，穿着也好看，哈哈哈,Positive
质量差点意思，一天就漏了，里面还有小疙瘩，硌脚,Negative
质量不错非常喜欢,Positive
质量不错，特别满意，手感很好,Positive
质量很好衣服也很漂亮好评,Positive
不满意，掉毛严重，上衣好脏，也不是加厚款的。以后不买他家衣服了，失望！,Negative
衣服质量很差，衣领都脱线了。便宜也懒得换了,Negative
太上当了，物流二十多天才到，说是皮毛一体的，根本就不是，卖家太弄虚作假了，大家千万不要买她家衣服，坑坑，，，，，谁家皮毛一体这样子，，，，,Negative
非常棒，上身非常漂亮，好评。,Positive
床上很性感，哈哈,Positive
差评。虽说便宜无好货，你这根本就是给我发的一件破烂衣服，垃圾，辣鸡，垃圾,Negative
老顾客了不薄，质量杠杠的！整体摸起来质感是非常可以的小仙女们喜欢这种款式的可以下单,Positive
非常好特别暖和,Positive
好看！个人觉得非常值，物美价廉。推荐推荐推荐，灰色好看,Positive
无色差哦，特别好看，质量也不错,Positive
