review,lable,
虽说是够便宜但掉色太厉害了洗出来都是墨色的水,Negative
布料很好的！推荐购买！,Positive
这个绳子我就无力吐槽，太水了吧，扁的，没看到手指都划破了！,Negative
衣服是纯棉的，穿着非常舒服，值得购买,Positive
衣服很好看，布料很好,Positive
出乎意料的质量好，面料很软，领子很好看，又买了一下咖啡色的，同事都说性价比高,Positive
穿着很好看，加了腰带就好,Positive
好好好质量不错哈哈哈,Positive
买的时候没注意，商家没买运费险，退货要几块，不能换货，来回运费太多，不划算，所以不退了，不能穿，看看有适合穿的送人吧。,Negative
上身效果很好，柔软舒服，不知道会不会起球，很喜欢呀,Positive
裙子褪色，为什么裙子不做长的和短的，选择性更高,Positive
从下单开始就满怀期待的衣服终于到了哦！质量很不错呢，最近天冷了，出门外面套一件大衣，很保暖，在室内单穿也是不错的选择衣服是没有色差的哦，只是所在光线不一样而已很喜欢,Positive
质量太差不值这个价好评不知道怎么来的还没穿就开线,Negative
非常奶思，还怕买回来穿不了小个子穿也可以哦。,Positive
挺好的，就是有点大,Positive
特别好，颜色也很正，特别好看，还显瘦,Positive
非常好的衣服呢还会回购的,Positive
有锁骨的妹子买它！特别好看！,Positive
问题还是这家店常见的线头，抽丝，这次多了个破洞不知道当初为啥买了码，身高裙子当齐胸穿刚刚好,Negative
质量还可以，不会起球的那种，百搭打底，价格便宜！可以购买！,Positive
上身效果：穿上特别像校服厚薄度：适合穿吧面料品质：里面布料一块一块的，拼接的太差了,Negative
裙子真的好显瘦身高体重,Positive
真的差劲布料透掉色超级严重！粘毛！裤子也非常非常长！一个品牌这个价钱真的毁好感,Negative
一星给售后服务态度，售后锦绣服务态度太差。害我退货重新下单，优惠都用不了了,Negative
布料摸着柔软，挺舒服的，穿上身也非常百搭，这个价钱还可以，有点小问题，客服也帮着解决了,Positive
也就那样吧不怎么好,Negative
没放洗涤剂，水洗好多好多次，一直掉色严重。湿手摸里面，一手毛,Negative
好看，是我想要的样子，么么哒,Positive
质量很好，我买的毛呢加厚的，现在穿正好可以。,Positive
宝贝收到好看，颜色很白很耐脏，下次还会再买的。,Positive
裤子布面料有问题，收到货一打开就看见那么大的洞，跟客服联系，说补偿我元钱，真是脑子让门夹了，那是开缝吗？是裤子炸开了，而且这条裤子好像穿过了，旁边有一块白斑，让人怀疑是不是那啥？质量问题太严重。无语了！,Negative
我很喜欢，是我想要的,Positive
质量好物流快值得购买便宜实惠，祝卖家生意兴隆，下次继续光顾。,Positive
双十二比双十一还便宜，没穿几天就降价，无良,Negative
面料挺好滴，胸大的可能有点点太性感咯，我觉得挺好看的，,Positive
实事求是描述一下产品：薄款柔软贴身，外面是光面不起球，内里是磨毛，在河南的冬天打底稍冷，春秋天穿正好。做工质量价格对等，在同类产品中性价比稍高,Positive
